NAME	CHR	BEG	END	CLASS	F:M SLOPE	F10	F11	F12	U13	F14A	U14A	F14B	F14B_r2	F14C	F14C_r2	F14D	U14D	M10	M11	M12	M13	M14A	M14A_r2	M14B	M14B_r2	M14C	M14C_r2	M14D	M14D_r2	w1_F10	w1_F11	w1_F12	w1_U13	w1_F14A	w1_U14A	w1_F14B	w1_F14B_r2	w1_F14C	w1_F14C_r2	w1_F14D	w1_U14D	w1_M10	w1_M11	w1_M12	w1_M13	w1_M14A	w1_M14A_r2	w1_M14B	w1_M14B_r2	w1_M14C	w1_M14C_r2	w1_M14D	w1_M14D_r2	cas_F10	cas_F11	cas_F12	cas_U13	cas_F14A	cas_U14A	cas_F14B	cas_F14B_r2	cas_F14C	cas_F14C_r2	cas_F14D	cas_U14D	cas_M10	cas_M11	cas_M12	cas_M13	cas_M14A	cas_M14A_r2	cas_M14B	cas_M14B_r2	cas_M14C	cas_M14C_r2	cas_M14D	cas_M14D_r2
Act5C	X	5794896	5798500	mat	0.991365702	2652.39	2817.6	2732.78	2814.03	2637.79	2715.51	2716.62	3117.43	2884.89	2847.29	2574.12	2886.65	2769.14	2864.21	3067.6	3066.53	2834.47	2786.3	2302.07	2975.61	2346.89	2677.41	2542.36	2470.05	2647.26	2817.6	2732.78	2814.03	2620.9	2713.34	2685.94	3085.74	2709.74	2752.07	2444.63	2882.69	2769.14	2864.21	3065.58	3064.12	2832.73	2786.3	2302.07	2975.61	2346.89	2677.41	2540.47	2466.94	5.13	0	0	0	16.89	2.17	30.68	31.69	175.15	95.22	129.49	3.96	0	0	2.02	2.41	1.74	0	0	0	0	0	1.89	3.11
Act79B	3L	21978330	21980290		1.212417884	0.6	0.74	0.83	0.83	0.72	0.54	0.62	0.66	0.58	0.86	1.25	0.7	0.48	0.47	0.85	0.87	0.67	0.57	0.44	0.69	0.51	0.92	0.55	0.59																																																
Act87E	3R	9251706	9253811	mat	0.989887977	70.75	95.65	65.53	68.53	71.64	64.66	90.05	67.42	87.58	66.15	68.01	71.45	69.67	107.2	73.87	73.24	81.39	68.61	69.72	69.1	56.18	70.33	77.64	66.4																																																
Act88F	3R	11265709	11267895	mat	0.892989385	2.83	2.69	2.5	1.14	4.25	1.62	3.35	1.75	2.47	1.71	2.58	1.81	2.9	4.55	1.96	2.87	3.47	2.59	2.62	2.07	1.04	2.52	2.92	1.85																																																
Actbeta	4	1097945	1105418		0.010204082	0	0	0.03	0	0	0	0	0	0.01	0	0.04	0.08	0.04	0	0	0	0	0	0.09	0.02	0.01	0.1	0	0.04																																																
Actn	X	1919148	1936344	mat	0.896366265	67.66	80.55	67.08	42.65	27.94	21.03	24.69	23.28	17.27	16.69	16.14	17.45	62.19	105.1	60.99	53.54	32.46	32.51	14.66	29.74	12.93	18.79	16.79	12.02	67.66	80.55	67.08	42.65	27.94	21.03	24.69	23.28	12.95	15.3	12.21	17.45	62.19	105.1	60.99	52.8	32.46	32.51	0	29.74	12.93	18.79	0	12.02	0	0	0	0	0	0	0	0	4.32	1.39	3.93	0	0	0	0	0.74	0	0	0	0	0	0	0	0
Actn3	3R	12801606	12803517		0	0	0	0	0.15	0.06	0	0.06	0.07	0	0	0	0	0	0	0	0	0	0.09	0	0	0	0.06	0	0																																																
Actr13E	X	15629805	15631109	mat	1.030419327	50.8	61.3	54.37	72.18	79.4	77.15	74.36	76.15	85.57	88.06	88.97	76.62	54.36	56.68	65.59	67.52	73.66	75.14	82.36	84.5	73.97	79.12	77.22	81.61																																																
ACXA	2L	12921090	12925453		0	0	0	0	0	0	0	0	0.02	0	0	0.2	0.18	0	0	0	0	0	0	0.04	0.02	0.12	0	0	0.43																																																
ACXB	2L	12916813	12921014	zyg	0	0	0	0	0	0	0	0	0	0	0	0.42	0.46	0	0	0	0	0	0	0	0	0.53	0	0	0.73																																																
ACXC	2L	12912529	12916774	zyg	0.166666667	0	0	0.02	0	0	0	0	0	0.01	0	0.05	0.25	0	0	0	0	0	0	0	0	0.06	0.03	0	0.1																																																
ACXD	3L	2237609	2243719		1.735483871	0	0	0.01	0.25	0.04	0.08	0.04	0.13	0.12	0.38	0.01	0.64	0.02	0.02	0.06	0.06	0.04	0.41	0.03	0.01	0.07	0.45	0.01	0.27																																																
ACXE	2L	12925618	12929755	zyg	0.125	0	0	0	0	0	0	0	0	0.02	0	0.14	0.2	0	0	0	0	0	0	0	0	0.16	0	0	0.16																																																
Acyp	2L	13912200	13912563		0.222575517	0	0	0	0	0	0	0	0	0.42	0	0.4	0.17	0	0	0.69	0	0	0	0	0.32	0.3	0	0	0																																																
Acyp2	3R	11618460	11619116	mat	0.931642509	15.44	8.82	10.83	16.13	11.6	13.71	6.98	13.14	11.01	17.7	15.16	13.49	15.38	2.9	15.08	8.84	12.65	11.25	9.9	13.19	17.27	13.66	10.56	16.63																																																
Ada	3R	4890900	4892025	matzyg	0.827746038	5.27	8.25	8.22	10.65	12.89	11.44	7.79	12.98	15.76	14.23	18.14	21.24	10.62	3.68	10.51	10.82	10.16	8.68	13.47	14.64	23.18	12.04	15.25	20.32																																																
Ada1-1	2L	11996810	11997960	mat	1.038814842	20.33	28.01	24.03	26.7	26.8	27	29.76	25.38	25.83	21.37	24.3	20.06	19.85	23.85	21.93	26.65	28.22	25.37	25.5	25.16	26.37	23.49	25.07	26.79																																																
Ada1-2	2L	11992905	11994049	mat	1.04693555	25.55	33.03	27.85	31.37	30.69	29.88	34.69	29.61	29.88	25.33	29.02	22.9	24.73	27.56	24.5	31.06	33.05	29.42	29.17	28.3	30.28	28.67	29.7	31.94																																																
Ada2b	3R	4062837	4066234	mat	0.964955388	150.05	163.98	166.15	143.26	90.39	55.24	46.16	42.76	25.58	27.03	32.13	26.48	164.18	159.6	166.8	155.91	98.86	81.96	34.44	60.64	28.54	25.62	28.01	23.96	150.05	0	166.15	143.26	87.81	55.24	0	0	0	0	19.28	0	164.18	0	166.8	155.91	94.15	0	0	55.13	0	0	0	0	0	0	0	0	2.58	0	0	0	0	0	12.85	0	0	0	0	0	4.71	0	0	5.51	0	0	0	0
Adam	2R	5856464	5858410	matzyg	1.055798472	71.09	47.05	31.26	10.4	3.98	3.16	4.71	6.83	28.05	21.73	43.46	36.87	67.9	39.97	24.72	10.27	3.39	4.96	7.83	5.32	38.55	25.33	34.66	49.1																																																
Adar	X	1667782	1678034	mat	1.04490853	24.47	17.46	29.89	22.5	10.77	6.91	4.8	7.48	8.83	8.2	14.12	12.59	27.08	11.43	25.36	25.21	10.85	9.25	3.01	7.87	7.73	5.54	7.7	6.21	24.47	0	0	0	0	0	0	7.48	5.3	0	11.3	12.59	0	0	0	0	0	0	0	0	7.73	5.54	7.7	0	0	0	0	0	0	0	0	0	3.53	0	2.82	0	0	0	0	0	0	0	0	0	0	0	0	0
adat	2L	13808359	13811472	matzyg	0.909225259	1.15	1.14	1.12	0.61	0.48	0.27	0.37	0.36	1.75	1.93	3.69	3.92	1.62	0.46	0.82	0.79	0.24	0.5	0.21	0.27	2.91	1.81	3.21	2.16																																																
ade2	2L	6041177	6045970	mat	1.004205611	46.63	32.83	35.06	13.38	4.38	1.93	2.73	4.7	2.68	2.56	2.2	3.86	37.79	41.86	28.83	18.93	5.71	6.52	2.46	4.42	2.92	3.42	3.46	2.47																																																
ade3	2L	7014860	7023940	mat	0.849563806	14.3	13.85	14.37	10.44	11.24	13.22	14.6	13.07	16.94	12.53	9.77	11.25	21.28	18.86	16.22	12.37	11.23	14.45	10.89	10.88	7.71	15.24	15.01	6.48	14.3	13.85	14.37	0	0	13.22	0	13.07	0	0	0	8.44	21.28	18.86	16.22	12.37	0	0	10.89	0	5.65	10.89	6	6.02	0	0	0	0	0	0	0	0	0	0	0	2.81	0	0	0	0	0	0	0	0	2.06	4.35	9.01	0.46
ade5	X	12651792	12654651	mat	1.00992337	35.83	28.44	14.18	6.99	2	1.1	1.13	1.94	1.53	1.25	1.47	3.09	31.89	30.86	15.82	6.55	1.52	1.92	0.16	1.94	2.34	0.94	2.93	2.35	35.83	28.44	14.18	6.99	0	0	0	0	0.87	0	0	0	31.89	30.86	15.82	6.55	0	1.92	0	0	1.72	0	2.93	2.1	0	0	0	0	0	0	0	0	0.66	0	0	0	0	0	0	0	0	0	0	0	0.62	0	0	0.25
Adf1	2R	2549773	2555592	matzyg	1.026355093	75.43	59.47	65.48	23.49	9.43	8.05	20.37	23.57	70.56	77.85	69.86	58.71	74.43	67.67	49.92	28.85	13	12.15	19.16	15.29	69.55	66.7	63.34	60.86																																																
Adgf-A	3L	17744817	17757253	matzyg	0.561758638	4.45	3.25	3.57	4.34	2.55	2.43	2.23	5.24	7.21	10.66	4.46	12.44	3.79	2.5	3.48	5.12	1.64	2.63	3.23	2.68	6.87	6.48	14.51	6.87																																																
Adgf-B	3L	17741932	17743688	zyg	0.6	0	0	0	0	0	0	0.03	0	0	0	0.06	0.15	0	0	0	0	0.03	0.03	0	0	0	0	0.09	0																																																
Adgf-C	3R	9532478	9534854	zyg	1.281023396	0	0	0	0.03	0.03	0.06	0	0.07	1.05	0.18	0.39	1.88	0	0	0	0	0.03	0.03	0	0	0.72	0.3	0.46	0.62																																																
Adgf-D	3R	9528805	9531180	zyg	0.871107495	0	0	0	0	0	0.09	0	0	4.93	0	2.13	5.38	0	0	0	0	0.38	0	0	0.1	5.6	1.4	2.52	2																																																
Adh	2L	14616268	14617419	mat	1.020110185	152.41	90.35	37.42	9.15	2.35	3.04	5.44	2.75	2.09	1.38	1.94	1.46	149.63	89.64	31.21	12.79	2.41	4.23	1.87	1.37	1.27	1.78	1.6	2.06	152.41	90.35	37.42	9.15	0	0	0	0	0	0	0	0	149.63	89.64	31.21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adhr	2L	14616268	14618902		0	0	0	0	0	0	0.19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0.23	0.19	0																																																
Adk1	3L	12193495	12197182	mat	0.942221735	8.34	9.84	8.03	9.27	9.59	7.28	8.59	6.78	3.07	2.79	3.55	5.55	10.84	9.26	9.63	10.17	8.95	7.09	6.95	9.94	3.19	4.07	4.16	3.28																																																
Adk2	2R	19911720	19913400	matzyg	1.013310414	148.31	92.27	86.84	54.82	31.87	25.84	33.7	32.72	81.11	54.1	84.21	82.82	116.77	107.68	76.65	50.74	35.39	26.35	32.02	28.73	105.45	49.96	79.99	113.39																																																
Adk3	3R	6713287	6715310	matzyg	1.126669928	6.65	2.37	0	1.2	0	0.79	0.51	0.92	1.28	1.17	1.4	0.6	4.96	0	0	0	1.14	0.99	0.75	1.83	2.31	1.53	1.53	0.66																																																
AdoR	3R	25960996	25964247		0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																
adp	2R	14039208	14041565	mat	0.969431738	9.41	10.32	10.09	4.54	3.87	2.19	2.1	3.2	2.08	1.13	1.61	2.66	10.24	10.39	7.83	7.42	2.96	3.93	2.2	3.32	1.9	1.86	1.93	2.03																																																
Ady43A	2R	3130528	3133263	mat	0.621264689	1.49	1.04	0.87	0.87	0.64	0.88	0.73	1.8	0.21	0.14	0.26	0.17	1.35	1.34	1.24	2.12	1.16	0.67	1.48	0.93	0.1	0.17	0.25	0																																																
Aef1	3L	21426527	21430973	mat	0.881573569	137.33	137.86	182.94	136.04	49.31	20.01	15.38	12.31	2.04	2.83	1.49	1.76	174.66	138.32	157.47	187.25	70.06	46.39	7.51	32.22	1.43	2.65	1.61	0.84	136.8	137.3	182.27	135.23	48.29	20.01	15.38	12.31	0	0	0	0	173.8	137.7	156.48	185.69	70.06	46.39	7.51	32.22	0	0	0	0	0.53	0.57	0.67	0.81	1.02	0	0	0	0	0	0	0	0.86	0.62	0.99	1.56	0	0	0	0	0	0	0	0
aft	2R	13673641	13676072	mat	0.792734637	10.57	3.6	4.35	1.17	0.35	0.23	0.33	0.27	0.34	0.33	0.44	1	14.19	3.21	2.79	1.12	0.63	0.27	0.21	0.34	0.51	0.26	0.35	1.05	10.57	3.6	4.35	1.17	0.35	0	0	0	0	0	0	0	14.19	0	2.79	1.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ag5r	X	14679125	14680266		0	0	0	0	0	0	0	0	0	0.1	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																
Ag5r2	X	14676984	14678075		0	0	0	0	0	0	0	0.19	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																
ago	3L	4246325	4254309	mat	0.952039795	179.72	170.28	212.73	161.23	213.92	171.25	161.19	321.71	150.66	274.36	137.7	195.32	182.3	223.78	210.9	226.56	179.98	236.89	141.93	248.5	116.22	240.99	125.81	101.12	179.72	170.28	212.51	160.07	213.29	170.26	159.63	314.92	124.18	247.17	98.63	135.8	182.3	222.91	210.27	226.1	179.44	236.1	140.66	247.33	79.45	218.56	90.9	63.73	0	0	0.22	1.16	0.63	0.99	1.56	6.79	26.48	27.19	39.07	59.52	0	0.87	0.63	0.46	0.54	0.79	1.27	1.17	36.77	22.43	34.91	37.39
AGO1	2R	9834046	9845594	mat	0.940154111	92.38	71.33	116.79	79.94	103.55	72.86	50.38	165.81	85.91	155.21	84.45	107.85	107.76	95.66	94.16	130.04	91.75	101.45	42.33	119.01	58.39	133.61	57.88	47.98	92.38	71.33	116.79	79.8	103.37	72.71	49.46	164.28	81.12	147.66	78.51	97.37	107.76	95.66	94.03	130.04	91.62	100.89	42.11	117.78	54.01	128.34	52.96	42.43	0	0	0	0.14	0.18	0.15	0.92	1.53	4.79	7.55	5.94	10.48	0	0	0.13	0	0.13	0.56	0.22	1.23	4.38	5.27	4.92	5.55
AGO2	3L	15547216	15554146	mat	0.940353633	66.16	61.6	99.79	63.89	65.59	60.5	40.44	108.24	74.09	118.24	80.22	100.63	91.24	60.63	85.18	94.58	72.2	72.97	41.45	88.28	58.59	93.94	66	50.39																																																
AGO3	3L	23547714	23682722	mat	0.945411465	26.76	3.08	32.08	27.95	48.15	30.13	7.03	40.51	12.34	35.22	29.44	20.69	24.52	1.69	16.03	51.32	31.21	26.79	8.97	34.06	18.77	36.03	13.92	21.04	26.76	0	32.08	27.95	48.15	30.13	7.03	40.51	12.34	35.22	29.44	20.69	24.52	0	16.03	51.32	31.21	26.79	8.97	34.06	18.77	36.03	13.92	21.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
agt	3R	2485129	2485822	mat	1.062283441	13.02	15.76	19.07	23.38	23.34	18.23	9.88	17.95	10.39	17.97	16.5	18.41	13.07	11.23	20.65	18.14	15.43	20.07	15.88	24.47	15.43	13.79	11.5	19.44																																																
Ahcy13	X	15344294	15346683	mat	1.343236533	95.74	72.21	27.33	13.15	8.48	6.11	8.7	5.68	6.74	5.13	5.53	5.94	55.13	65.59	21.07	12.65	8.45	6.61	7.99	5.56	6.81	6.8	7.01	5.97																																																
Ahcy89E	3R	12804160	12807754		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0.05	0	0	0.03	0	0	0	0																																																
AIF	2L	2151663	2155390	mat	1.045925837	49.6	26.58	24.29	9.11	12.33	6.89	7.73	13.96	11.39	15.17	16.38	14.43	45.6	29.88	18.42	10.01	9.72	11.53	7.42	13.69	15.66	13.52	13.45	11.19	49.6	26.58	23.91	7.41	5.24	3.67	3.87	9.66	3.61	9.48	7.26	9.1	45.6	29.88	17.45	6.98	4.86	6.41	2.35	7.93	9.09	7.54	7.04	6.1	0	0	0.38	1.7	7.09	3.22	3.87	4.3	7.78	5.69	9.12	5.33	0	0	0.97	3.03	4.86	5.12	5.07	5.76	6.57	5.98	6.41	5.09
Ak6	2R	8456514	8457372	matzyg	0.895480421	13.88	2.12	6.76	3.85	2.6	2.32	3.05	2.89	7.46	3.7	11.3	11.23	14.91	2.11	9.34	5.96	5.45	2.15	2.78	1.81	9.16	5.79	7.98	14.22																																																
Akap200	2L	8415689	8430984	mat	1.02444996	364.26	416.26	366.56	390.03	374.46	416.42	470.94	572.49	599.54	541.69	559.27	594.33	339.1	495.07	396.5	392.36	423.81	485.31	449.14	475.04	473.82	563.44	494.5	470.13	363.85	416.26	366.23	388.96	371.57	413.5	459.99	563.5	541.46	508.32	505.3	529.06	339.1	492.7	396.5	391.7	421.68	482.95	436.76	470.03	423.54	544.45	429.95	417.8	0.41	0	0.33	1.07	2.89	2.92	10.95	8.99	58.08	33.37	53.97	65.27	0	2.37	0	0.66	2.13	2.36	12.38	5.01	50.28	18.99	64.55	52.33
Akh	3L	4141466	4142070		2.071626874	0	0	0.11	0	0.54	0	0.8	0.34	0.66	0.58	1.43	0.46	0	0	0.28	0	0.27	0.1	0	0.32	0.41	0.1	0.47	0.27																																																
akirin	3L	7362899	7366958	mat	1.020368845	276.96	243.02	346.4	292.16	371.63	354.38	299.75	436.97	432.35	430.06	468.93	467.91	329.62	300.95	307.68	364.13	360.49	341.61	271.23	378.67	360.4	476.24	392.44	410.38	276.96	243.02	346.4	292.16	366.96	354.38	299.75	430	406.06	405.86	413.38	417.78	328.01	300.95	306.02	364.13	356.63	339.12	271.23	372.18	316.78	439.34	335.15	372.78	0	0	0	0	4.67	0	0	6.97	26.29	24.2	55.55	50.13	1.61	0	1.66	0	3.86	2.49	0	6.49	43.62	36.9	57.29	37.6
Akt1	3R	11924937	11930239	mat	0.946400094	59.51	42.98	53.68	25.21	10.39	6.17	4.43	16.53	24.04	33.95	35.34	34.67	70.07	45.93	45.32	35.02	11.43	10.68	4.65	11.98	24.65	24.99	26.27	20.17	59.51	42.66	53.68	25.21	10.39	5.29	3.69	11.02	13.29	15.95	18.77	20.88	70.07	45.93	45.32	35.02	10.92	10.34	3.22	10.18	16.71	14.55	15.07	8.86	0	0.32	0	0	0	0.88	0.74	5.51	10.75	18	16.57	13.79	0	0	0	0	0.51	0.34	1.43	1.8	7.94	10.44	11.2	11.31
al	2L	378115	387439		0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03																																																
Alas	2R	19852223	19854271	matzyg	0.782754188	10.48	7.42	4.83	2.54	1.55	1.09	1.71	1.5	6.86	4.06	6.88	11.29	8.19	9.96	5.24	2.37	1.82	1.95	2.07	0.85	10.95	3.52	10.77	10.64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.87	0
alc	2R	5022879	5025455	mat	0.968025009	58.59	81.42	69.05	68.93	47.74	33.55	52	35.46	11.36	11.17	8.13	7.89	66.66	87.34	72.82	59.96	59.22	51.75	32.38	42.26	8.59	13.07	9.09	6.03																																																
AlCR2	3L	18479601	18495657		1.956692913	0	0	0	0.04	0.27	0.13	0	0.08	0.17	0.13	0	0.03	0.03	0	0	0	0.14	0.23	0	0.12	0.07	0.07	0	0																																																
ald	3R	13497019	13499550	mat	1.114606051	61.38	46.36	45.68	15.89	2.2	1.21	0.9	1.13	3.41	2.34	8.4	7.85	58.13	34.19	34.4	25.42	2.13	2.3	0.32	1.5	6.69	3.13	6.52	6.44	61.38	45.23	45.68	15.89	0	0	0	0	0	0	4.58	0	58.13	34.19	34.4	25.42	0	0	0	0	0	0	0	0	0	1.13	0	0	0	0	0	0	0	0	3.82	0	0	0	0	0	0	0	0	0	0	0	0	0
Ald	3R	22080403	22087313	mat	0.833228641	173.18	253.97	191.69	173.16	154.92	149.99	192.23	142.67	126.64	85.79	64.37	68.45	219.32	335.23	238.23	230.41	168.29	166.2	109.86	141.65	52.96	86.24	94.4	65.98																																																
Aldh	2L	9387388	9391679	mat	0.930971586	274.03	188.49	126.61	77.4	34.91	68.51	49.68	63.06	47.67	31.24	25.98	20.01	280.96	189.83	178.05	87.51	26.04	50.6	34.25	48.37	17.25	42.26	18.83	10.19	273.59	188.29	126.31	77.32	34.44	68.01	49.68	62.88	47.14	30.83	25.14	19.22	280.96	189.69	177.72	87.41	25.68	50.6	34.19	48.19	16.29	42.19	18.68	9.43	0.44	0.2	0.3	0.08	0.47	0.5	0	0.18	0.53	0.41	0.84	0.79	0	0.14	0.33	0.1	0.36	0	0.06	0.18	0.96	0.07	0.15	0.76
Aldh-III	2R	3354383	3362162	mat	0.991738908	69.4	65.2	81.15	75.22	70.22	58.91	64.74	71.19	56.91	56.47	54.97	60.14	74.56	74.53	82.11	81	66.69	70.96	59.51	68.97	46.18	56.23	49.3	45.79																																																
Alg-2	3RHet	1894568	1899122	mat	1.055105758	24.06	3.7	25.28	28.09	31.33	30.26	6.6	18.19	8.88	11.83	24.15	10.88	24.34	1.2	17.01	34.96	22.77	22.55	7.04	21.79	13.79	18.78	12.5	15.26																																																
Alg10	3L	11158074	11159720	mat	0.897110337	13.3	6.48	3.11	0.91	0.19	0.14	0.14	0.04	0.2	0.04	0.13	0.77	14.7	7.8	2.3	0.96	0.16	0.11	0.12	0	0.32	0	0.33	0.74	13.3	0	0	0	0	0	0	0	0	0	0	0	14.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alh	3R	2920317	2949907	mat	0.986303189	108.21	128.37	111.17	70.35	64.47	38.58	71.08	82.18	68.63	143.66	37.97	41.35	96.67	156.72	93.46	82.9	61.7	54.22	61.26	45.8	31.97	121.53	39.21	22.87																																																
alien	2L	8995544	8997375	mat	1.014474961	114.3	63.06	147.99	148.2	151.73	153.2	83.81	170.93	148.42	169.07	186.28	172.46	137.24	47.88	136.76	162.83	134.07	138.7	104.64	154.74	164.4	165.97	124.35	159.56																																																
ALiX	3R	23522186	23525967	mat	0.998616494	72.25	76.11	83.6	78.72	93.09	72.25	76.42	102.13	48.01	81.59	34.99	54.8	73.62	85.18	86.44	85.36	86.62	87.35	64.42	96.24	35.36	78.84	38.92	32.5	72.25	76.11	83.6	78.15	93.09	72.25	76.42	102.13	44.05	81.02	29.87	51.26	72.91	85.18	86.44	85.36	86.62	87.35	64.42	96.24	23.83	75.59	34.13	25.34	0	0	0	0.57	0	0	0	0	3.96	0.57	5.12	3.54	0.71	0	0	0	0	0	0	0	11.53	3.25	4.79	7.16
Alk	2R	12513589	12525279	zyg	1.879393522	0	0	0	0	0	0	0	0.08	0.15	0.04	0.74	0.6	0	0	0	0	0	0	0.01	0.02	0.19	0.05	0.33	0.3																																																
AlkB	X	15752166	15753520	mat	0.947354081	12.64	5.02	15.5	13.7	19.91	19.78	6.33	17.38	10.03	16.19	20.77	12.71	12.4	2.64	11.55	14.87	18.94	16.74	9.38	17.52	20.35	18.23	12.89	17.28																																																
alph	3R	25417543	25442879	mat	1.001470946	146.61	128.46	197.28	168.85	173.64	152.63	121.85	241.06	185.5	221.73	180.68	194.21	174.24	142.09	172.44	204.67	168.25	186.62	128.57	205.82	153.18	223.89	145.52	131.96	146.61	128.46	197.28	168.85	173.64	152.63	121.85	238.98	181.36	218.4	171	182.51	174.24	142.09	172.44	204.67	167.46	185.65	128.57	205.82	144.95	223.89	135.23	120.63	0	0	0	0	0	0	0	2.08	4.14	3.33	9.68	11.7	0	0	0	0	0.79	0.97	0	0	8.23	0	10.29	11.33
alpha-Adaptin	2L	408021	414775	mat	0.861477657	91.08	59.51	47.95	8.16	1.56	0.61	0.5	1.01	6.12	2.76	7.94	9.71	110.2	60.76	50.72	22.32	1.9	2.12	0.3	1.18	6.59	2.9	5.44	7.08																																																
alpha-Cat	3L	23311773	23331205	mat	0.985133788	73.49	19.95	110.11	88.57	109.94	80.38	20.81	116.15	56.32	115.87	125.77	114.94	96.59	11.33	68.37	131.68	80.29	81.01	29.15	106.77	79.44	113.09	58.44	69.45	73.49	0	110.11	88.57	109.94	80.38	20.81	116.15	55.33	114.64	123.3	112.79	96.59	0	67.54	131.68	80.29	81.01	29.15	106.77	77.63	113.09	54.73	68.11	0	0	0	0	0	0	0	0	0.99	1.23	2.47	2.15	0	0	0.83	0	0	0	0	0	1.81	0	3.71	1.34
alpha-catenin-related	2R	19845629	19849148	zyg	1.510638298	0	0	0	0.03	0	0	0	0.02	0.02	0.07	0.19	0.16	0	0	0.04	0	0	0	0	0	0.02	0.08	0.11	0.02																																																
alpha-Est1	3R	3371448	3374844	mat	1.033206676	45.63	23.76	40.12	42.53	47.89	35.83	37.67	40.88	13.21	17.64	9.89	17.17	28.41	33.9	38.94	50.33	40.06	39.19	32.09	42.04	12.41	24.18	10.45	15.71																																																
alpha-Est10	3R	3312304	3317278	mat	1.36170399	14.6	3.88	3.64	0.13	0.14	0.05	0.1	0.03	0	0.03	0.25	0	10.5	3.88	1.19	0.09	0	0.13	0	0.11	0.31	0	0	0.02	14.6	0	0	0	0	0	0	0	0	0	0	0	10.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alpha-Est2	3R	3368465	3370952	zyg	0.806451613	0.13	0.06	0.15	0.52	0.92	0.66	0.65	0.99	1.27	1.96	1.27	2.45	0.29	0.18	0.13	0.16	0.92	1.06	1.04	1.98	1.3	2.25	1.77	1.5																																																
alpha-Est3	3R	3364693	3367052	mat	1.215630411	14.65	7.77	7.64	3.83	1.5	1.02	0.82	1.4	0.84	0.92	0.79	1.18	8.53	9.38	5.89	3.85	1.93	1.62	0.83	1.34	0.57	2.05	0.91	0.7																																																
alpha-Est4	3R	3362408	3364333	matzyg	0.630841121	0.07	0	0.03	0.29	0.07	0.15	0.06	0.42	0.06	0.5	0.14	0.18	0.08	0	0.06	0	0.06	0.22	0.08	0.3	0.16	0.12	0.2	0.03																																																
alpha-Est4aPsi	3R	3352239	3353790		4.75	0	0	0	0	0.19	0.25	0	0.58	0	0	0	0	0	0	0	0	0.04	0.22	0	0.32	0	0	0	0																																																
alpha-Est5	3R	3359950	3362247	mat	0.985955487	27.04	19.78	38.42	40.02	52.08	44.53	29.74	46.19	39.18	46.82	44.55	44.31	28.27	20.64	38.57	50.19	39.63	34.35	32.57	45.93	45.69	44.2	36.03	36.83	27.04	19.78	38.42	40.02	52.08	44.53	29.74	46.19	37.06	46.82	44.55	41.25	28.27	0	38.57	50.19	39.63	34.35	31.15	44.49	45.69	41.81	36.03	36.83	0	0	0	0	0	0	0	0	2.12	0	0	3.06	0	0	0	0	0	0	1.42	1.44	0	2.39	0	0
alpha-Est6	3R	3350285	3354499	zyg	0.552691359	0	0	0	0.23	0.57	0.7	0.67	1.81	1.16	1.88	0.89	2.14	0	0	0	0	0.19	0.83	1.55	0.76	2.22	1.78	0.93	0.93																																																
alpha-Est7	3R	3345283	3349476		0.339847991	0	0	0	0	0.19	0.1	0.19	0.51	0.32	0.24	0.1	0.18	0	0	0	0	0.05	0.26	0.78	0.46	0.17	0.45	0.07	0.16																																																
alpha-Est8	3R	3335064	3341391		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0.06																																																
alpha-Est9	3R	3319818	3330808		0	0.02	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0.02	0	0	0	0	0	0																																																
alpha-Man-I	X	10170087	10219990	mat	0.878188943	57.34	58.01	66.22	50.97	56	32.41	26.7	40.25	4.67	11.51	5.49	7.26	57.95	75.34	67.75	70.89	55.93	53.53	18.04	54.94	5.39	17.07	5.27	3.9																																																
